             Heights (in meters) of the sensors at non-NDBC stations

STATION        SITE    ATMP   ANEMOMETER  TIDE  BAROMETER   WTMP    WATER   WATCH
41060          0        NA       NA       NA       NA       NA       5021     NA      
41061          0        NA       NA       NA       NA       NA       5292     NA      
41062          0        1.5      3.5      NA       1.5      2        36       NA      
41063          0        1.5      3.5      NA       1.5      2        30       NA      
41064          0        2.79     2.95     NA       2.79     NA       30       NA      
41096          NA       NA       NA       NA       NA       NA       NA       NA      
41097          NA       NA       NA       NA       NA       NA       NA       NA      
41098          NA       NA       NA       NA       NA       NA       NA       NA      
41100          NA       NA       NA       NA       NA       NA       NA       NA      
41101          NA       NA       NA       NA       NA       NA       NA       NA      
41108          0        NA       NA       NA       NA       0.46     12.8     NA      
41109          0        NA       NA       NA       NA       1        13.2     NA      
41110          0        NA       NA       NA       NA       0.46     17       NA      
41112          0        NA       NA       NA       NA       0.46     15.54    NA      
41113          0        NA       NA       NA       NA       0.46     9.8      NA      
41114          0        NA       NA       NA       NA       0.46     16.2     NA      
41115          0        NA       NA       NA       NA       0.46     32.9     NA      
41116          0        NA       NA       NA       NA       0.46     41       NA      
41117          0        NA       NA       NA       NA       0.46     24.4     NA      
41118          0        NA       NA       NA       NA       0.46     7.3      NA      
41140          NA       NA       NA       NA       NA       NA       244      NA      
41141          NA       NA       NA       NA       NA       NA       432      NA      
41159          0        NA       NA       NA       NA       0.46     30.5     NA      
41193          NA       NA       NA       NA       NA       NA       150      NA      
41194          NA       NA       NA       NA       NA       NA       150      NA      
41300          NA       NA       NA       NA       NA       NA       NA       NA      
41554          NA       NA       NA       NA       NA       NA       NA       NA      
41670          NA       NA       NA       NA       NA       NA       NA       NA      
41852          NA       NA       NA       NA       NA       NA       NA       NA      
41904          NA       NA       NA       NA       NA       NA       NA       NA      
41933          NA       NA       NA       NA       NA       NA       NA       NA      
41nt0          0        3.1      3.4      NA       3.2      1        5021     NA      
42013          0        1        2.8      NA       1.2      1        25       NA      
42014          0        1        2.8      NA       1.2      NA       50       NA      
42021          0        1        2.8      NA       1.2      NA       NA       NA      
42022          0        2.8      3.2      NA       2.8      1        50       NA      
42023          0        2.8      3.2      NA       2.8      1        50       NA      
42024          0        2.8      3.2      NA       2.8      -1.2     75       NA      
42031          0        NA       NA       NA       NA       0.5      NA       NA      
42043          0        4        4        NA       4        2        19       NA      
42044          0        4        4        NA       4        2        20       NA      
42045          0        4        4        NA       4        2        62       NA      
42046          0        4        4        NA       4        2        105      NA      
42047          0        4        4        NA       4        2        89       NA      
42048          0        NA       NA       NA       NA       2        18       NA      
42049          0        NA       NA       NA       NA       2        21       NA      
42050          0        NA       NA       NA       NA       2        24       NA      
42051          0        NA       NA       NA       NA       2        9        NA      
42067          0        4        5        NA       4        1        20       70      
42078          0        NA       NA       NA       NA       0.46     170      NA      
42079          0        NA       NA       NA       NA       NA       99       NA      
42085          0        3        4        NA       3        1        17       60      
42087          0        NA       3.35     NA       NA       NA       NA       NA      
42088          0        NA       3.35     NA       NA       NA       NA       NA      
42089          0        3        3.35     NA       3        1        NA       NA      
42090          0        NA       3.35     NA       NA       NA       NA       NA      
42097          0        NA       NA       NA       NA       0.46     81       NA      
42098          0        NA       NA       NA       NA       0.46     12       NA      
42099          0        NA       NA       NA       NA       0.46     100.6    NA      
42360          0        3.5      3        NA       NA       NA       2530.7   NA      
42361          0        37       122      NA       37       NA       871.7    NA      
42362          0        37       122      NA       37       NA       910      NA      
42363          0        37       122      NA       37       NA       894      NA      
42364          0        37       122      NA       37       NA       980.2    NA      
42365          0        37       122      NA       37       NA       1158.2   NA      
42366          NA       NA       NA       NA       NA       NA       1615.4   NA      
42367          NA       NA       NA       NA       NA       NA       859.5    NA      
42368          NA       NA       NA       NA       NA       NA       1483.7   NA      
42369          0        NA       60.4     NA       NA       NA       1371.9   NA      
42370          0        NA       78.7     NA       NA       NA       1310.6   NA      
42371          NA       NA       NA       NA       NA       NA       640      NA      
42372          NA       NA       NA       NA       NA       NA       788.5    NA      
42373          NA       NA       NA       NA       NA       NA       1112.52  NA      
42374          0        NA       NA       NA       NA       NA       1645.9   NA      
42375          0        NA       61       NA       NA       NA       1920.2   NA      
42376          0        NA       NA       NA       NA       NA       986.3    NA      
42377          NA       NA       NA       NA       NA       NA       1524     NA      
42379          NA       NA       NA       NA       NA       NA       1286.4   NA      
42380          NA       NA       NA       NA       NA       NA       1709.9   NA      
42381          NA       NA       NA       NA       NA       NA       910.7    NA      
42382          NA       NA       NA       NA       NA       NA       960.1    NA      
42383          NA       NA       NA       NA       NA       NA       1289.9   NA      
42384          NA       NA       NA       NA       NA       NA       454.8    NA      
42385          NA       NA       NA       NA       NA       NA       1975.1   NA      
42386          NA       NA       NA       NA       NA       NA       1219.2   NA      
42387          NA       NA       NA       NA       NA       NA       1847.1   NA      
42388          NA       NA       NA       NA       NA       NA       216.1    NA      
42390          0        NA       NA       NA       NA       NA       2382.6   NA      
